"Date","SOND_ERA","MAM_ERA","SOND_CHIRPS","MAM_CHIRPS","SOND_KIR","MAM_KIR","SOND_MUY","MAM_MUY","SOND_NDVI","MAM_NDVI"
2000,377,291,"419.661","305.433","288.5999992","322.299999","397.6999999","330.0999999","0.4486629","0.563016133333333"
2001,576,365,"569.825","381.001","434.1999992","263.8999991","620.9999999","331.5","0.5938559","0.605992466666667"
2002,458,458,"359.312",512,"313.3999989","539.1999983","367.3999999","491.5999999","0.51185565","0.591522933333333"
2003,375,328,"407.349","358.046","324.2999989","520.1999981","416.5999999","399.5999999","0.545648375","0.6105344"
2004,491,338,"478.457","398.967","420.2999991","393.399999","344.2999999","504.8999999","0.508468275","0.614589966666667"
2005,381,436,"323.953","380.937","323.1999996","473.0999987","323.2","406.7999998","0.4936336","0.617070266666667"
2006,544,520,"534.413","486.051","497.4999984","523.5999995","419.2","419.8199998","0.5082312","0.592062033333333"
2007,404,304,"395.259","365.272","365.2999993","420.6999989","413.2999999","324.9999999","0.566910225","0.629765933333333"
2008,401,330,"353.994","294.315","391,5","458.7999985","412.2999999","396.7999998","0.5334672","0.622730466666667"
2009,560,408,"415.949","398.6","418.9999985","398.8999987","398.9999998","484.4999999","0.532805925","0.629636533333333"
2010,512,358,"389.679","377.786","368.399999","400.8999985","287.9999999","349.0999999","0.51359355","0.6518921"
2011,731,396,"557.977","334.798","540.3999983","511.4999983","597.4","387.9","0.56185805","0.624876666666667"
2012,582,501,"507.129","390.101","525.5999985","472.1999993","605.1","394.6999998","0.57051695","0.6015975"
2013,512,493,"530.841","464.771","438.3999991","429.1999991","483.6","470.2","0.5393137","0.615173466666667"
2014,528,309,"388.906","302.716","565.3999979","294.1999987","403.2999999","266.5","0.545561025","0.613113966666667"
2015,637,432,"426.251","435.606","548.3999988","462.4999988","520.2999999","410.6299997","0.533112625","0.605424"
2016,468,388,"372.878","409.377","353.8999989","247.5999989","278.3","235.9999999","0.501397825","0.626534066666667"
2017,490,422,"466.224","378.516","479.1999982","327.5999988","430.8999999","452.2","0.5077183","0.585167033333333"
